ID,CLIENTNUM,Status,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Months_Inactive_12_mon,Contacts_Count_12_mon,Dependent_count
8822,779263533,Existing Customer,34,F,Graduate,Unknown,Unknown,Silver,16,2,32292000.0,1731000,30561000.0,7564000,76,0.054,2,1,2
2845,712443558,Existing Customer,39,F,College,Single,Unknown,Blue,36,6,22125000.0,0,22125000.0,1994000,57,0.0,1,1,1
7405,720003558,Existing Customer,43,F,Graduate,Unknown,< Rp 3.000.000,Blue,32,4,1834000.0,1416000,418000.0,5653000,79,0.772,4,3,1
5596,720638283,Existing Customer,40,F,College,Single,< Rp 3.000.000,Blue,20,4,2801000.0,1731000,1070000.0,4568000,83,0.618,3,2,4
8829,789960783,Existing Customer,39,F,Graduate,Unknown,< Rp 3.000.000,Silver,30,1,10398000.0,1630000,8768000.0,7702000,81,0.157,2,3,1
187,812627208,Existing Customer,60,F,College,Single,< Rp 3.000.000,Blue,55,5,1438300.0,738000,700300.0,1226000,33,0.513,1,3,0
8722,715908558,Existing Customer,44,M,Graduate,Unknown,Rp 5.000.000 - Rp 8.000.000,Silver,36,1,29572000.0,1584000,27988000.0,7566000,88,0.054,1,1,0
875,716462658,Existing Customer,47,M,Doctorate,Single,Rp 8.000.000 - Rp 15.000.000,Blue,36,3,18037000.0,0,18037000.0,1387000,36,0.0,1,1,4
5012,757044033,Existing Customer,44,M,Graduate,Unknown,Rp 8.000.000 - Rp 15.000.000,Blue,37,3,1965000.0,1021000,944000.0,3968000,57,0.52,1,3,2
1158,789326808,Existing Customer,26,M,College,Single,Rp 5.000.000 - Rp 8.000.000,Blue,15,5,8267000.0,1720000,6547000.0,1917000,37,0.208,1,2,0
5058,720364158,Existing Customer,55,F,Graduate,Unknown,Unknown,Blue,36,4,7869000.0,1251000,6618000.0,4314000,83,0.159,3,3,3
3493,714429258,Existing Customer,46,M,Doctorate,Single,Rp 5.000.000 - Rp 8.000.000,Blue,39,4,11464000.0,0,11464000.0,3660000,55,0.0,3,3,5
9145,713552958,Existing Customer,43,M,Graduate,Unknown,Rp 5.000.000 - Rp 8.000.000,Blue,28,1,12773000.0,1637000,11136000.0,14833000,114,0.128,3,1,5
9308,743420208,Existing Customer,47,F,College,Single,< Rp 3.000.000,Blue,40,2,4822000.0,1882000,2940000.0,13816000,121,0.39,2,2,2
8096,779877858,Existing Customer,53,F,College,Unknown,< Rp 3.000.000,Blue,37,2,2081000.0,1342000,739000.0,4428000,80,0.645,3,2,2
5960,716023533,Existing Customer,49,F,Post-Graduate,Single,Unknown,Blue,39,6,2880000.0,1996000,884000.0,4334000,81,0.693,3,2,1
6427,719534058,Existing Customer,26,F,Graduate,Unknown,< Rp 3.000.000,Blue,14,3,2163000.0,1942000,221000.0,4380000,57,0.898,2,1,0
7751,798917883,Existing Customer,42,F,College,Single,< Rp 3.000.000,Blue,36,2,4150000.0,2517000,1633000.0,4620000,76,0.607,3,2,4
6439,713710383,Existing Customer,43,M,High School,Unknown,Rp 8.000.000 - Rp 15.000.000,Blue,30,4,18008000.0,2517000,15491000.0,2659000,55,0.14,2,1,2
4725,779224758,Existing Customer,47,F,Doctorate,Single,< Rp 3.000.000,Blue,37,4,2168000.0,1485000,683000.0,3828000,86,0.685,3,2,2
5457,756989583,Existing Customer,41,M,Graduate,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,24,4,1605000.0,0,1605000.0,4418000,68,0.0,2,2,4
4572,713263758,Existing Customer,53,F,College,Single,< Rp 3.000.000,Blue,45,3,2312000.0,1997000,315000.0,5085000,78,0.864,2,2,1
8931,710489583,Existing Customer,41,F,Graduate,Unknown,< Rp 3.000.000,Blue,36,1,4941000.0,1040000,3901000.0,7631000,91,0.21,1,1,3
6185,713578608,Existing Customer,58,M,Doctorate,Single,< Rp 3.000.000,Blue,46,6,1438300.0,0,1438300.0,4082000,82,0.0,4,3,0
7765,719112258,Existing Customer,42,M,College,Unknown,Rp 5.000.000 - Rp 8.000.000,Blue,35,3,2516000.0,1360000,1156000.0,4692000,79,0.541,3,3,4
294,720250158,Existing Customer,45,M,College,Single,Rp 5.000.000 - Rp 8.000.000,Blue,33,6,23218000.0,1814000,21404000.0,1749000,37,0.078,3,0,2
5271,767280633,Existing Customer,46,F,Graduate,Unknown,< Rp 3.000.000,Blue,39,5,3003000.0,1454000,1549000.0,4378000,96,0.484,2,2,2
9712,756658083,Existing Customer,49,M,Post-Graduate,Single,Rp 8.000.000 - Rp 15.000.000,Blue,42,3,30885000.0,2018000,28867000.0,17350000,115,0.065,2,1,4
8982,714054408,Existing Customer,50,M,College,Unknown,Rp 5.000.000 - Rp 8.000.000,Blue,42,1,12889000.0,1822000,11067000.0,8272000,79,0.141,2,3,3
1178,788915283,Existing Customer,43,F,College,Single,< Rp 3.000.000,Blue,29,5,2304000.0,1589000,715000.0,1273000,36,0.69,1,2,2
8048,708995283,Existing Customer,50,F,Graduate,Unknown,Unknown,Blue,36,1,10417000.0,2290000,8127000.0,4871000,75,0.22,1,3,1
5477,711379083,Existing Customer,60,F,Doctorate,Single,< Rp 3.000.000,Blue,42,5,2758000.0,1429000,1329000.0,5124000,74,0.518,3,3,0
8597,720074583,Existing Customer,42,M,Graduate,Unknown,Rp 8.000.000 - Rp 15.000.000,Blue,36,2,4765000.0,1516000,3249000.0,7380000,76,0.318,1,2,1
7776,718566858,Existing Customer,46,F,College,Single,< Rp 3.000.000,Blue,36,3,1438300.0,0,1438300.0,5005000,79,0.0,2,2,2
7671,788885133,Existing Customer,57,F,College,Unknown,< Rp 3.000.000,Silver,42,6,12675000.0,2422000,10253000.0,3912000,63,0.191,1,1,3
5244,714103908,Existing Customer,54,F,Doctorate,Single,< Rp 3.000.000,Blue,36,4,2778000.0,743000,2035000.0,4515000,74,0.267,2,2,3
2198,719213133,Existing Customer,53,M,Graduate,Unknown,Rp 5.000.000 - Rp 8.000.000,Blue,41,4,2432000.0,1554000,878000.0,3670000,60,0.639,1,2,1
3238,710248233,Existing Customer,37,M,College,Single,Rp 3.000.000 - Rp 5.000.000,Blue,28,5,3490000.0,1421000,2069000.0,3392000,80,0.407,2,3,3
6231,708689958,Existing Customer,48,F,Unknown,Unknown,< Rp 3.000.000,Blue,36,4,2406000.0,1744000,662000.0,4748000,88,0.725,3,2,4
246,713779908,Existing Customer,46,F,Doctorate,Single,Unknown,Blue,36,6,2189000.0,1666000,523000.0,1287000,36,0.761,3,2,3
2093,712340733,Existing Customer,42,F,Graduate,Unknown,Unknown,Blue,34,5,19373000.0,1142000,18231000.0,1792000,48,0.059,2,2,2
8640,816073983,Existing Customer,53,F,College,Single,< Rp 3.000.000,Blue,48,2,8259000.0,1182000,7077000.0,7957000,88,0.143,2,2,2
9013,718388733,Existing Customer,38,F,College,Unknown,< Rp 3.000.000,Blue,32,2,2609000.0,1259000,1350000.0,8677000,96,0.483,3,3,1
1507,751450008,Existing Customer,41,M,Post-Graduate,Single,Rp 3.000.000 - Rp 5.000.000,Blue,32,3,10266000.0,1390000,8876000.0,1720000,42,0.135,2,4,1
3317,789334458,Existing Customer,43,F,Graduate,Unknown,Unknown,Silver,33,3,34516000.0,1858000,32658000.0,4197000,67,0.054,1,3,3
7779,709068183,Existing Customer,53,M,College,Single,Rp 5.000.000 - Rp 8.000.000,Blue,42,3,3096000.0,0,3096000.0,4709000,87,0.0,3,3,4
9967,715199808,Existing Customer,39,F,Graduate,Unknown,Unknown,Silver,30,6,33905000.0,2070000,31835000.0,15335000,99,0.061,3,5,3
5799,817892208,Existing Customer,35,F,Doctorate,Single,< Rp 3.000.000,Blue,30,5,1438300.0,0,1438300.0,4006000,72,0.0,1,1,2
4131,789025083,Existing Customer,40,M,Unknown,Unknown,< Rp 3.000.000,Blue,27,5,1438300.0,860000,578300.0,4655000,82,0.598,3,0,4
5289,823624158,Existing Customer,53,F,Doctorate,Single,Unknown,Blue,49,3,4500000.0,0,4500000.0,4579000,78,0.0,2,2,2
6675,712220283,Existing Customer,37,M,Graduate,Unknown,Rp 8.000.000 - Rp 15.000.000,Blue,28,3,12222000.0,0,12222000.0,4215000,63,0.0,2,3,2
4284,720338658,Existing Customer,56,F,Post-Graduate,Single,< Rp 3.000.000,Blue,42,3,2490000.0,1623000,867000.0,2998000,60,0.652,2,2,3
4896,716204883,Existing Customer,53,M,College,Unknown,Rp 5.000.000 - Rp 8.000.000,Blue,44,5,7026000.0,1728000,5298000.0,3935000,66,0.246,3,1,4
8276,709389558,Existing Customer,33,F,College,Single,< Rp 3.000.000,Blue,36,1,1438300.0,0,1438300.0,4641000,85,0.0,3,0,4
6786,719350908,Existing Customer,43,M,Unknown,Unknown,< Rp 3.000.000,Blue,35,3,4177000.0,2094000,2083000.0,3553000,66,0.501,3,2,4
4491,779070033,Existing Customer,63,F,College,Single,< Rp 3.000.000,Blue,44,3,1938000.0,0,1938000.0,3974000,56,0.0,4,2,0
4672,720510333,Existing Customer,40,F,College,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,20,6,2037000.0,1349000,688000.0,4574000,84,0.662,2,2,3
3960,711423558,Existing Customer,60,F,Post-Graduate,Single,Rp 3.000.000 - Rp 5.000.000,Blue,50,4,4606000.0,0,4606000.0,4181000,63,0.0,1,2,1
2124,789170283,Existing Customer,53,M,Graduate,Unknown,Rp 8.000.000 - Rp 15.000.000,Blue,42,5,6514000.0,978000,5536000.0,3084000,63,0.15,5,4,1
4315,769684158,Existing Customer,42,M,College,Single,Rp 3.000.000 - Rp 5.000.000,Blue,36,3,2502000.0,1488000,1014000.0,3763000,75,0.595,3,2,4
5118,771222558,Existing Customer,45,F,Graduate,Unknown,< Rp 3.000.000,Blue,32,6,2900000.0,2018000,882000.0,4467000,79,0.696,1,3,3
7674,757643733,Existing Customer,42,F,Post-Graduate,Single,< Rp 3.000.000,Blue,35,6,3223000.0,0,3223000.0,4916000,79,0.0,3,2,2
4558,717095733,Existing Customer,48,F,Unknown,Unknown,< Rp 3.000.000,Blue,29,6,3212000.0,2517000,695000.0,4284000,69,0.784,3,4,4
6044,771942333,Existing Customer,65,M,College,Single,< Rp 3.000.000,Blue,54,5,5363000.0,1309000,4054000.0,3855000,63,0.244,2,2,1
8582,719269308,Existing Customer,49,F,Graduate,Unknown,< Rp 3.000.000,Blue,36,3,3252000.0,2517000,735000.0,7418000,90,0.774,1,3,2
7960,815789883,Existing Customer,46,F,College,Single,< Rp 3.000.000,Blue,41,1,2485000.0,861000,1624000.0,4728000,81,0.346,3,2,3
518,721232058,Existing Customer,49,M,Graduate,Unknown,Rp 3.000.000 - Rp 5.000.000,Silver,41,6,20231000.0,977000,19254000.0,1215000,36,0.048,1,3,1
4257,718538958,Existing Customer,55,F,College,Single,< Rp 3.000.000,Blue,43,6,1844000.0,0,1844000.0,4564000,82,0.0,3,4,3
443,788386908,Existing Customer,48,M,Graduate,Unknown,Rp 8.000.000 - Rp 15.000.000,Platinum,41,3,34516000.0,1531000,32985000.0,1156000,29,0.044,2,2,3
9476,712195383,Existing Customer,37,F,Doctorate,Single,< Rp 3.000.000,Blue,36,2,9178000.0,1585000,7593000.0,14932000,110,0.173,2,3,0
7213,749571633,Existing Customer,44,F,College,Unknown,Unknown,Blue,37,4,5589000.0,1336000,4253000.0,4262000,75,0.239,3,3,2
2470,766322883,Existing Customer,33,F,College,Single,Rp 3.000.000 - Rp 5.000.000,Blue,26,6,6316000.0,1344000,4972000.0,2401000,71,0.213,3,5,3
2345,715043508,Existing Customer,38,M,Graduate,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,36,4,9515000.0,0,9515000.0,4642000,61,0.0,3,4,2
7521,708897408,Existing Customer,46,M,College,Single,Rp 5.000.000 - Rp 8.000.000,Blue,36,4,1621000.0,787000,834000.0,4719000,73,0.486,2,3,3
9701,708248358,Existing Customer,42,M,Graduate,Unknown,Rp 5.000.000 - Rp 8.000.000,Silver,30,3,29937000.0,0,29937000.0,14863000,109,0.0,1,3,4
3391,712165308,Existing Customer,45,F,Doctorate,Single,Unknown,Blue,36,4,7738000.0,947000,6791000.0,4255000,61,0.122,2,4,2
4463,717023508,Existing Customer,45,F,Unknown,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,36,6,2667000.0,1551000,1116000.0,4883000,85,0.582,1,2,3
5007,709857033,Existing Customer,60,F,College,Single,Rp 3.000.000 - Rp 5.000.000,Blue,50,5,1438300.0,0,1438300.0,4148000,84,0.0,1,3,1
9216,718764708,Existing Customer,45,M,Graduate,Unknown,> Rp 15.000.000,Blue,36,1,8858000.0,1359000,7499000.0,14223000,103,0.153,4,3,3
8490,788290383,Existing Customer,43,M,Doctorate,Single,Rp 3.000.000 - Rp 5.000.000,Blue,35,2,4970000.0,1588000,3382000.0,4436000,83,0.32,6,3,3
3858,772177308,Existing Customer,47,F,Unknown,Unknown,< Rp 3.000.000,Blue,36,4,1738000.0,0,1738000.0,2572000,62,0.0,2,2,2
6307,711694083,Existing Customer,59,F,Post-Graduate,Single,< Rp 3.000.000,Blue,48,4,3030000.0,1251000,1779000.0,4724000,71,0.413,2,2,0
4738,779090883,Existing Customer,42,F,Unknown,Unknown,< Rp 3.000.000,Blue,23,6,2483000.0,1297000,1186000.0,3478000,64,0.522,3,1,2
6513,711783483,Existing Customer,55,F,Post-Graduate,Single,Rp 3.000.000 - Rp 5.000.000,Blue,46,4,5162000.0,984000,4178000.0,3562000,72,0.191,3,2,3
1388,758408883,Existing Customer,37,F,Graduate,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,30,5,13355000.0,1631000,11724000.0,1921000,37,0.122,3,4,1
1643,708242283,Existing Customer,29,M,College,Single,Rp 5.000.000 - Rp 8.000.000,Blue,36,5,5346000.0,0,5346000.0,3253000,80,0.0,3,2,1
4874,711654558,Existing Customer,46,M,Graduate,Unknown,Rp 5.000.000 - Rp 8.000.000,Blue,36,6,2179000.0,1632000,547000.0,4025000,69,0.749,3,4,3
4465,772133808,Existing Customer,47,F,Post-Graduate,Single,Rp 3.000.000 - Rp 5.000.000,Blue,36,6,3114000.0,1059000,2055000.0,4342000,62,0.34,5,0,3
4374,778224858,Existing Customer,42,F,College,Unknown,Unknown,Blue,32,3,4035000.0,1003000,3032000.0,4589000,89,0.249,3,4,2
1706,716692683,Existing Customer,31,M,College,Single,Rp 3.000.000 - Rp 5.000.000,Blue,22,4,9096000.0,0,9096000.0,2318000,54,0.0,1,3,1
6220,778550583,Existing Customer,43,F,High School,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,35,6,1766000.0,0,1766000.0,4808000,87,0.0,3,2,1
5351,789114408,Existing Customer,50,F,Post-Graduate,Single,Rp 3.000.000 - Rp 5.000.000,Blue,38,3,4182000.0,0,4182000.0,4693000,82,0.0,1,4,1
6438,710783358,Existing Customer,46,M,High School,Unknown,Rp 8.000.000 - Rp 15.000.000,Blue,35,5,2570000.0,1764000,806000.0,4442000,85,0.686,3,2,3
1174,787438983,Existing Customer,43,M,College,Single,Rp 3.000.000 - Rp 5.000.000,Blue,23,6,4559000.0,1664000,2895000.0,1652000,37,0.365,2,2,3
5630,712886733,Existing Customer,44,F,Graduate,Unknown,< Rp 3.000.000,Blue,32,3,1780000.0,1338000,442000.0,4268000,87,0.752,3,3,1
9674,751166508,Existing Customer,57,M,Post-Graduate,Single,Rp 8.000.000 - Rp 15.000.000,Blue,50,3,34516000.0,2293000,32223000.0,14287000,114,0.066,1,1,3
407,709311633,Existing Customer,41,M,Graduate,Unknown,Rp 5.000.000 - Rp 8.000.000,Silver,36,6,27000000.0,0,27000000.0,1209000,39,0.0,2,0,2
215,713837058,Existing Customer,48,M,College,Single,< Rp 3.000.000,Blue,36,3,2571000.0,1955000,616000.0,1234000,24,0.76,2,3,2
6238,720269283,Existing Customer,48,F,Unknown,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,33,3,2485000.0,1651000,834000.0,4351000,86,0.664,2,2,3
8436,789296133,Existing Customer,35,F,Doctorate,Single,Unknown,Blue,24,1,12287000.0,770000,11517000.0,4601000,65,0.063,1,3,3
8393,812235108,Existing Customer,44,F,Graduate,Unknown,< Rp 3.000.000,Blue,39,2,4057000.0,755000,3302000.0,4301000,58,0.186,3,3,2
7772,715123983,Existing Customer,43,F,College,Single,< Rp 3.000.000,Blue,36,3,3342000.0,2517000,825000.0,5848000,81,0.753,2,2,1
6587,785351133,Existing Customer,61,F,Graduate,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,55,4,1438300.0,0,1438300.0,4518000,81,0.0,3,3,1
8139,809844108,Existing Customer,48,M,Doctorate,Single,Rp 5.000.000 - Rp 8.000.000,Blue,43,2,8086000.0,0,8086000.0,4775000,78,0.0,1,1,2
5858,711907083,Existing Customer,53,M,High School,Unknown,Rp 8.000.000 - Rp 15.000.000,Blue,36,3,14111000.0,1034000,13077000.0,2950000,64,0.073,3,4,1
1660,737982408,Existing Customer,33,M,College,Single,Rp 8.000.000 - Rp 15.000.000,Blue,26,4,19136000.0,1608000,17528000.0,2501000,55,0.084,3,4,1
10015,708964683,Existing Customer,48,F,College,Unknown,Unknown,Blue,36,3,3310000.0,0,3310000.0,14542000,89,0.0,2,1,4
249,721022433,Existing Customer,44,M,Doctorate,Single,Rp 5.000.000 - Rp 8.000.000,Blue,36,5,7577000.0,2480000,5097000.0,1409000,35,0.327,1,2,2
4629,718282983,Existing Customer,60,M,College,Unknown,< Rp 3.000.000,Blue,47,6,3076000.0,2257000,819000.0,4522000,75,0.734,3,3,0
5074,718396533,Existing Customer,47,M,College,Single,Rp 8.000.000 - Rp 15.000.000,Blue,38,5,8185000.0,1556000,6629000.0,4527000,83,0.19,3,3,3
4053,812973708,Existing Customer,42,M,High School,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,37,6,2793000.0,1661000,1132000.0,3247000,69,0.595,2,4,3
9696,709315383,Existing Customer,31,F,Post-Graduate,Single,Unknown,Blue,36,3,26423000.0,0,26423000.0,13575000,108,0.0,3,1,0
8981,720809358,Existing Customer,39,M,College,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,32,1,4874000.0,2317000,2557000.0,7776000,98,0.475,1,3,1
9658,710529708,Existing Customer,41,M,College,Single,Rp 5.000.000 - Rp 8.000.000,Blue,36,3,23260000.0,1476000,21784000.0,15140000,105,0.063,3,1,3
7169,713564208,Existing Customer,34,F,Graduate,Unknown,< Rp 3.000.000,Blue,23,4,2207000.0,1527000,680000.0,4159000,64,0.692,1,1,1
7588,718607883,Existing Customer,41,M,Post-Graduate,Single,Rp 8.000.000 - Rp 15.000.000,Blue,30,4,17890000.0,2517000,15373000.0,4831000,81,0.141,2,2,3
9790,715554708,Existing Customer,53,M,High School,Unknown,> Rp 15.000.000,Blue,34,2,8507000.0,1484000,7023000.0,14949000,114,0.174,1,2,1
7464,721181883,Existing Customer,30,F,College,Single,Unknown,Blue,18,4,9641000.0,0,9641000.0,4710000,75,0.0,2,3,0
9295,719324658,Existing Customer,27,M,College,Unknown,Rp 8.000.000 - Rp 15.000.000,Silver,19,1,34516000.0,1131000,33385000.0,14716000,112,0.033,1,3,0
134,711402333,Existing Customer,47,M,Doctorate,Single,< Rp 3.000.000,Blue,37,2,3235000.0,797000,2438000.0,1493000,32,0.246,1,3,2
5526,770740308,Existing Customer,49,F,Graduate,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,35,3,2631000.0,1699000,932000.0,4691000,92,0.646,3,2,4
970,712420833,Existing Customer,49,F,College,Single,Unknown,Blue,41,6,16031000.0,2245000,13786000.0,1527000,57,0.14,3,2,5
9015,757863258,Existing Customer,45,F,Graduate,Unknown,< Rp 3.000.000,Blue,38,2,2396000.0,887000,1509000.0,7480000,84,0.37,2,1,4
3461,717569283,Existing Customer,47,M,Doctorate,Single,< Rp 3.000.000,Blue,36,3,8896000.0,1338000,7558000.0,4252000,70,0.15,1,2,5
5170,720235608,Existing Customer,60,F,Graduate,Unknown,< Rp 3.000.000,Blue,36,4,3828000.0,0,3828000.0,4470000,58,0.0,3,1,0
5041,719105433,Existing Customer,48,F,College,Single,Unknown,Blue,38,3,6448000.0,1087000,5361000.0,4990000,85,0.169,3,3,3
6287,710508858,Existing Customer,44,F,High School,Unknown,< Rp 3.000.000,Blue,34,5,3226000.0,2517000,709000.0,4317000,81,0.78,1,3,2
9510,770926158,Existing Customer,51,F,Doctorate,Single,< Rp 3.000.000,Blue,38,2,4132000.0,2517000,1615000.0,13820000,129,0.609,2,2,0
3419,716332533,Existing Customer,38,F,Unknown,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,36,6,3509000.0,1819000,1690000.0,4712000,84,0.518,1,3,3
2684,709074108,Existing Customer,36,M,College,Single,Rp 5.000.000 - Rp 8.000.000,Blue,24,5,23032000.0,840000,22192000.0,2787000,73,0.036,2,5,2
6765,713941158,Existing Customer,47,F,High School,Unknown,< Rp 3.000.000,Blue,36,6,5222000.0,2517000,2705000.0,4433000,81,0.482,5,1,1
8630,720935658,Existing Customer,57,F,Post-Graduate,Single,< Rp 3.000.000,Blue,45,2,3059000.0,1744000,1315000.0,7709000,89,0.57,2,3,4
6227,712637283,Existing Customer,36,F,Unknown,Unknown,< Rp 3.000.000,Blue,28,6,2169000.0,1602000,567000.0,5182000,78,0.739,1,2,2
2907,710703708,Existing Customer,46,F,Unknown,Single,Rp 3.000.000 - Rp 5.000.000,Silver,35,6,16985000.0,968000,16017000.0,2961000,56,0.057,3,2,4
3486,711184983,Existing Customer,41,M,Unknown,Unknown,Rp 8.000.000 - Rp 15.000.000,Blue,29,6,11191000.0,0,11191000.0,3839000,73,0.0,2,1,5
3169,715480983,Existing Customer,55,F,College,Single,< Rp 3.000.000,Blue,36,5,5719000.0,892000,4827000.0,3403000,68,0.156,2,3,2
6734,720210483,Existing Customer,43,F,High School,Unknown,Unknown,Blue,28,6,6720000.0,2143000,4577000.0,5049000,85,0.319,2,3,3
5945,708100533,Existing Customer,55,F,College,Single,< Rp 3.000.000,Blue,36,3,2679000.0,2277000,402000.0,4943000,85,0.85,3,3,3
10038,716850558,Existing Customer,48,M,Graduate,Unknown,Rp 5.000.000 - Rp 8.000.000,Gold,32,5,34516000.0,1285000,33231000.0,15279000,122,0.037,1,3,4
4526,717491058,Existing Customer,42,M,Post-Graduate,Single,Rp 5.000.000 - Rp 8.000.000,Blue,26,6,20803000.0,1747000,19056000.0,4012000,60,0.084,2,3,2
2528,714542058,Existing Customer,53,M,Graduate,Unknown,Rp 5.000.000 - Rp 8.000.000,Silver,44,5,26365000.0,680000,25685000.0,3411000,68,0.026,2,1,1
6016,794581533,Existing Customer,52,M,College,Single,Rp 5.000.000 - Rp 8.000.000,Blue,37,4,2749000.0,1380000,1369000.0,3882000,90,0.502,3,3,2
6613,814529508,Existing Customer,39,F,High School,Unknown,Unknown,Blue,34,4,15370000.0,686000,14684000.0,4106000,71,0.045,3,2,3
3818,721313808,Existing Customer,50,M,Doctorate,Single,Rp 8.000.000 - Rp 15.000.000,Blue,41,6,2826000.0,1741000,1085000.0,4488000,73,0.616,1,2,1
8180,720154533,Existing Customer,53,F,Graduate,Unknown,< Rp 3.000.000,Blue,39,2,2415000.0,1643000,772000.0,5063000,78,0.68,3,2,4
6495,709946658,Existing Customer,49,F,College,Single,Rp 3.000.000 - Rp 5.000.000,Blue,30,5,2765000.0,1211000,1554000.0,4629000,58,0.438,3,3,4
6572,719231583,Existing Customer,61,M,Graduate,Unknown,Rp 5.000.000 - Rp 8.000.000,Blue,49,6,16929000.0,1838000,15091000.0,4799000,79,0.109,2,2,1
3872,717096858,Existing Customer,51,M,Doctorate,Single,Rp 3.000.000 - Rp 5.000.000,Blue,40,4,6492000.0,719000,5773000.0,4828000,78,0.111,3,3,2
5360,779307558,Existing Customer,53,F,College,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,35,4,3585000.0,0,3585000.0,4806000,81,0.0,3,3,1
6636,714172158,Existing Customer,51,F,Doctorate,Single,Rp 3.000.000 - Rp 5.000.000,Blue,36,3,2637000.0,1009000,1628000.0,4525000,83,0.383,2,1,0
4862,771288258,Existing Customer,48,F,Unknown,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,36,6,2545000.0,1894000,651000.0,4660000,68,0.744,2,2,3
1754,717499083,Existing Customer,35,M,Unknown,Single,Rp 5.000.000 - Rp 8.000.000,Blue,36,3,17236000.0,0,17236000.0,3013000,78,0.0,1,2,0
8264,789151983,Existing Customer,43,F,Graduate,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,31,2,4091000.0,1108000,2983000.0,5244000,87,0.271,3,3,4
8262,713068833,Existing Customer,44,F,Uneducated,Single,< Rp 3.000.000,Blue,32,2,1438300.0,894000,544300.0,4687000,85,0.622,2,1,3
8284,814989933,Existing Customer,45,F,College,Unknown,< Rp 3.000.000,Blue,40,1,1795000.0,1058000,737000.0,5575000,73,0.589,2,1,4
1738,708623283,Existing Customer,35,M,Uneducated,Single,Rp 5.000.000 - Rp 8.000.000,Blue,16,6,18278000.0,0,18278000.0,2084000,61,0.0,3,2,2
1045,810220833,Existing Customer,42,M,Graduate,Unknown,Rp 3.000.000 - Rp 5.000.000,Silver,37,3,15871000.0,2086000,13785000.0,1562000,43,0.131,6,2,4
5774,718384233,Existing Customer,52,M,Doctorate,Single,Rp 3.000.000 - Rp 5.000.000,Silver,39,4,17835000.0,868000,16967000.0,4258000,58,0.049,2,2,5
